MGP,JKD,1
CYA,PHB,-1
IAA5,CLE,-1
CYA,SHR,-1
PHB,SHR,1
SHR,CLE,-1
PHB,Auxin,-1
MGP,WOX5,1
CYA,SCR,1
JKD,CLE,-1
IAA5,SHR,-1
WOX5,WOX5,1
CLE,SHR,-1
IAA5,SHR,1
Auxin,MGP,-1
WOX5,MGP,1
WOX5,MGP,-1
SHR,PHB,1
CYA,IAA5,1
WOX5,IAA5,1
WOX5,WOX5,-1
WOX5,CLE,-1
Auxin,ACR,1
SCR,CLE,-1
JKD,SHR,-1
WOX5,SHR,1
MGP,SCR,1
WOX5,SCR,1
PHB,SCR,1
CYA,MGP,1
IAA5,MGP,1
PHB,MGP,1
JKD,miRNA165,-1
IAA5,PHB,-1
IAA5,PHB,1
PHB,PHB,1
Auxin,PHB,-1
IAA5,Auxin,-1
SHR,Auxin,-1
SCR,Auxin,1
IAA5,SCR,-1
JKD,miRNA165,1
PHB,SCR,-1
CLE,SCR,1
MGP,CLE,-1
