AT1G69040	AT5G12990	AT1G15580	AT5G03150	AT1G03840	AT2G34710	AT3G54220	AT4G37650	AT3G11260
101.1331	1.2390299999999999	12.3257566667	1.3082023333	4.2612	18.1909	2.6698266666999997	7.251666666699999	0.29609233329999995
127.2603333333	1.57307	17.5272666667	46.5525333333	41.0385333333	10.4968633333	28.608966666700002	1.4242136666999998	8.6380933333
76.9664333333	0.309715	68.7807	0.2891946667	0.341962	0.719856	2.4163	0.200322	0.0602376667
61.3987	0.0	43.8766333333	49.190666666700004	9.86663	1.0563703333	21.0015666667	0.387325	18.6021
62.5740666667	0.0	4.2514766667	20.3419	1.2097606667	3.9269133333	96.3384	5.1215566667	1.7960663333000002
99.7263333333	0.2206	18.964366666700002	0.2225756667	0.0686014667	1.2821533333	4.078883333299999	0.17621056670000002	0.0
84.553	2.0303806666999997	3.567393	1.0886033333	0.7195833333	21.7087666667	2.1121733333000003	6.105823	0.1236013333
97.4879	0.27614466670000004	13.576483333299999	0.808221	19.4043666667	13.794666666700001	2.7286866667000003	20.310266666700002	0.53678
28.7005	0.0	25.2377866667	1.2931110000000001	0.805582	26.653000000000002	2.7092773332999998	5.0887533333	0.26166999999999996
77.2573	0.0	13.32571	0.7796013333	5.0122533332999994	97.4799333333	1.7195183333000001	41.7521333333	3.21156
34.6299	0.42013999999999996	0.816569	0.3946636667	1.2386123333	152.4703333333	0.535209	100.8976666667	0.3098186667
93.9832	0.0	11.73265	7.2457899999999995	4.6901066667	13.2244	18.005333333299998	9.75563	0.48516866670000003
79.8618333333	0.0	7.739306666699999	27.8714333333	5.0369233333	7.39584	138.3823666667	8.7157066667	2.1102
111.9923333333	0.0	10.4361166667	0.1253605333	0.21483786670000002	1.8680433333000002	2.8717666667	0.176472	0.052075
97.1811333333	0.0	10.25563	1.096818	2.8146366667000002	51.9945	6.4510633333000005	31.8084333333	0.0746898333
96.1359666667	4.25889	3.6938566667000003	55.8740666667	40.6134	48.4092	83.1485	18.0354333333	101.29403333329999
151.0393333333	0.0	0.8919	28.291966666700002	4.92278	3.9632066667	26.4805666667	19.4783333333	0.0192420333
10.7218533333	0.0	0.0498599333	27.3842333333	4.8940566667	1.5389966667	31.0162333333	10.177999999999999	0.7198213333
271.003	0.0	0.0933207667	30.1919333333	15.6473666667	11.3967	30.9676	19.0076666667	0.5046930000000001
69.0783333333	0.0	0.5736476667	17.784233333299998	8.7618033333	17.884	31.0765333333	18.9122	1.7038233333000001
41.308166666700004	0.0	1.6303433333000001	10.17923	8.7380033333	3.5517800000000004	25.9905333333	6.2592300000000005	1.2141566667
33.0772	0.0	0.2667833333	18.7972	5.5921933333	11.225999999999999	21.2558	8.98253	2.2894266667
