#Experiment	Perturbations	PerturbationLevels	Treatment	DeletedGenes	OverexpressedGenes	Time	Repeat
1	NA	NA	NA	NA	NA	NA	1
2	NA	NA	NA	NA	NA	NA	1
3	NA	NA	NA	NA	NA	NA	1
4	NA	NA	NA	NA	NA	NA	1
5	NA	NA	NA	NA	NA	NA	1
6	NA	NA	NA	NA	NA	NA	1
7	NA	NA	NA	NA	NA	NA	1
8	NA	NA	NA	NA	NA	NA	1
9	NA	NA	NA	NA	NA	NA	1
10	NA	NA	NA	NA	NA	NA	1
11	NA	NA	NA	NA	NA	NA	1
12	NA	NA	NA	NA	NA	NA	1
13	NA	NA	NA	NA	NA	NA	1
14	NA	NA	NA	NA	NA	NA	1
15	NA	NA	NA	NA	NA	NA	1
16	NA	NA	NA	NA	NA	NA	1
17	NA	NA	NA	NA	NA	NA	1
18	NA	NA	NA	NA	NA	NA	1
19	NA	NA	NA	NA	NA	NA	1
20	NA	NA	NA	NA	NA	NA	1
21	NA	NA	NA	NA	NA	NA	1
22	NA	NA	NA	NA	NA	NA	1
